scientific_name,common_name,tier,tier_label,iucn_category,iucn_trend,confusable_with,confusable_trait,tier_reason
Panthera tigris tigris,Bengal tiger,1,Iconic / Common,EN,Decreasing,,,Listed in iconic/common set (§4.1)
Panthera leo,African lion,1,Iconic / Common,VU,Decreasing,,,Listed in iconic/common set (§4.1)
Ursus maritimus,Polar bear,1,Iconic / Common,VU,Unknown,,,Listed in iconic/common set (§4.1)
Giraffa camelopardalis,Giraffe,1,Iconic / Common,VU,Decreasing,,,Listed in iconic/common set (§4.1)
Pan troglodytes,Chimpanzee,1,Iconic / Common,EN,Decreasing,,,Listed in iconic/common set (§4.1)
Ailuropoda melanoleuca,Giant panda,1,Iconic / Common,VU,Increasing,,,Listed in iconic/common set (§4.1)
Equus quagga,Plains zebra,1,Iconic / Common,LC,Stable,,,Listed in iconic/common set (§4.1)
Hippopotamus amphibius,Hippopotamus,1,Iconic / Common,VU,Decreasing,,,Listed in iconic/common set (§4.1)
Panthera onca,Jaguar,1,Iconic / Common,VU,Decreasing,,,Listed in iconic/common set (§4.1)
Rhinoceros unicornis,Indian rhinoceros,1,Iconic / Common,VU,Increasing,,,Listed in iconic/common set (§4.1)
Setonix brachyurus,Quokka,2,Regionally Known,VU,Decreasing,,,Listed in regionally known set (§4.1)
Hydrochoerus hydrochaeris,Capybara,2,Regionally Known,LC,Stable,,,Listed in regionally known set (§4.1)
Ambystoma mexicanum,Axolotl,2,Regionally Known,CR,Decreasing,,,Listed in regionally known set (§4.1)
Ailurus fulgens,Red panda,2,Regionally Known,EN,Decreasing,,,Listed in regionally known set (§4.1)
Probosciger aterrimus,Palm cockatoo,2,Regionally Known,LC,Decreasing,,,Listed in regionally known set (§4.1)
Myrmecophaga tridactyla,Giant anteater,2,Regionally Known,VU,Decreasing,,,Listed in regionally known set (§4.1)
Tapirus terrestris,South American tapir,2,Regionally Known,VU,Decreasing,,,Listed in regionally known set (§4.1)
Arctictis binturong,Binturong,2,Regionally Known,VU,Decreasing,,,Listed in regionally known set (§4.1)
Patagioenas squamosa,Scaly-naped pigeon,2,Regionally Known,LC,Stable,,,Listed in regionally known set (§4.1)
Rhincodon typus,Whale shark,2,Regionally Known,EN,Decreasing,,,Listed in regionally known set (§4.1)
Pseudoryx nghetinhensis,Saola,3,Rare / Endangered,CR,Decreasing,,,Listed in rare/endangered set (§4.1)
Phocoena sinus,Vaquita,3,Rare / Endangered,CR,Decreasing,,,Listed in rare/endangered set (§4.1)
Strigops habroptila,Kakapo,3,Rare / Endangered,EN,Increasing,,,Listed in rare/endangered set (§4.1)
Panthera pardus orientalis,Amur leopard,3,Rare / Endangered,CR,Decreasing,,,Listed in rare/endangered set (§4.1)
Diceros bicornis,Black rhino,3,Rare / Endangered,CR,Increasing,,,Listed in rare/endangered set (§4.1)
Dermochelys coriacea,Leatherback sea turtle,3,Rare / Endangered,VU,Decreasing,,,Listed in rare/endangered set (§4.1)
Gorilla beringei beringei,Mountain gorilla,3,Rare / Endangered,EN,Increasing,,,Listed in rare/endangered set (§4.1)
Balaenoptera musculus,Blue whale,3,Rare / Endangered,EN,Increasing,,,Listed in rare/endangered set (§4.1)
Addax nasomaculatus,Addax,3,Rare / Endangered,CR,Decreasing,,,Listed in rare/endangered set (§4.1)
Acipenser sturio,European sturgeon,3,Rare / Endangered,CR,Unknown,,,Listed in rare/endangered set (§4.1)
Acinonyx jubatus,Cheetah,4,Visually Confusable,VU,Decreasing,Panthera pardus,spotted_felid,Visually confusable pair (trait: spotted_felid)
Panthera pardus,Leopard,4,Visually Confusable,VU,Decreasing,Acinonyx jubatus,spotted_felid,Visually confusable pair (trait: spotted_felid)
Loxodonta africana,African elephant,4,Visually Confusable,VU,Decreasing,Elephas maximus,elephant_species,Visually confusable pair (trait: elephant_species)
Elephas maximus,Asian elephant,4,Visually Confusable,EN,Decreasing,Loxodonta africana,elephant_species,Visually confusable pair (trait: elephant_species)
Haliaeetus leucocephalus,Bald eagle,4,Visually Confusable,LC,Increasing,Aquila chrysaetos,large_eagle,Visually confusable pair (trait: large_eagle)
Aquila chrysaetos,Golden eagle,4,Visually Confusable,LC,Stable,Haliaeetus leucocephalus,large_eagle,Visually confusable pair (trait: large_eagle)
Ursus arctos,Grizzly bear,4,Visually Confusable,LC,Stable,Ursus americanus,north_american_bear,Visually confusable pair (trait: north_american_bear)
Ursus americanus,American black bear,4,Visually Confusable,LC,Increasing,Ursus arctos,north_american_bear,Visually confusable pair (trait: north_american_bear)
Crocodylus niloticus,Nile crocodile,4,Visually Confusable,LC,Stable,Alligator mississippiensis,crocodilian,Visually confusable pair (trait: crocodilian)
Alligator mississippiensis,American alligator,4,Visually Confusable,LC,Increasing,Crocodylus niloticus,crocodilian,Visually confusable pair (trait: crocodilian)
