serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,image_path
S0001,iNat_Ailuropoda_melanoleuca_03,Ailuropoda melanoleuca,Giant panda,1,llava_interleave,mythological,Ancient Greek,0.7,1,forced_evasion,data\iNaturalist\downloaded\tier1_iconic_common\Ailuropoda_melanoleuca\Ailuropoda_melanoleuca_03.jpg
S0002,GBIF_Panthera_tigris_tigris_00,Panthera tigris tigris,Bengal tiger,1,qwen2vl2b,conservation,,0.7,0,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_00.jpg
S0003,GBIF_Probosciger_aterrimus_02,Probosciger aterrimus,Palm cockatoo,2,llava_interleave,mythological,Hindu,0.3,1,forced_shr1,data\GBIF\downloaded\tier2_regionally_known\Probosciger_aterrimus\Probosciger_aterrimus_02.jpg
S0004,iNat_Diceros_bicornis_00,Diceros bicornis,Black rhino,3,qwen3vl8b,mythological,West African (Yoruba),0.3,0,forced_ehr_high,data\iNaturalist\downloaded\tier3_rare_endangered\Diceros_bicornis\Diceros_bicornis_00.jpg
S0005,iNat_Acipenser_sturio_01,Acipenser sturio,European sturgeon,3,idefics3,childrens,,0.7,2,forced_ehr0,data\iNaturalist\downloaded\tier3_rare_endangered\Acipenser_sturio\Acipenser_sturio_01.jpg
S0006,GBIF_Equus_quagga_01,Equus quagga,Plains zebra,1,llava16,mythological,East Asian (Chinese/Japanese),0.3,1,stratified_random,data\GBIF\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_01.jpg
S0007,iNat_Elephas_maximus_02,Elephas maximus,Asian elephant,4,idefics3,mythological,Hindu,0.7,0,stratified_random,data\iNaturalist\downloaded\tier4_visually_confusable\Elephas_maximus\Elephas_maximus_02.jpg
S0008,iNat_Loxodonta_africana_00,Loxodonta africana,African elephant,4,idefics3,childrens,,0.3,0,forced_ehr0,data\iNaturalist\downloaded\tier4_visually_confusable\Loxodonta_africana\Loxodonta_africana_00.jpg
S0009,iNat_Strigops_habroptila_03,Strigops habroptila,Kakapo,3,llava_interleave,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Strigops_habroptila\Strigops_habroptila_03.jpg
S0010,iNat_Ursus_arctos_03,Ursus arctos,Grizzly bear,4,qwen3vl8b,conservation,,0.7,0,stratified_random,data\iNaturalist\downloaded\tier4_visually_confusable\Ursus_arctos\Ursus_arctos_03.jpg
S0011,iNat_Hydrochoerus_hydrochaeris_02,Hydrochoerus hydrochaeris,Capybara,2,qwen3vl8b,factual,,0.3,2,forced_evasion,data\iNaturalist\downloaded\tier2_regionally_known\Hydrochoerus_hydrochaeris\Hydrochoerus_hydrochaeris_02.jpg
S0012,iNat_Ambystoma_mexicanum_03,Ambystoma mexicanum,Axolotl,2,qwen2vl2b,childrens,,0.7,2,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_03.jpg
S0013,GBIF_Equus_quagga_01,Equus quagga,Plains zebra,1,idefics3,mythological,East Asian (Chinese/Japanese),0.3,1,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_01.jpg
S0014,iNat_Ailurus_fulgens_01,Ailurus fulgens,Red panda,2,qwen25vl,mythological,East Asian (Chinese/Japanese),0.3,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Ailurus_fulgens\Ailurus_fulgens_01.jpg
S0015,iNat_Ursus_maritimus_03,Ursus maritimus,Polar bear,1,qwen35_9b,mythological,Celtic,0.7,0,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Ursus_maritimus\Ursus_maritimus_03.jpg
S0016,GBIF_Balaenoptera_musculus_00,Balaenoptera musculus,Blue whale,3,ayavision,mythological,Celtic,0.3,0,forced_shr1,data\GBIF\downloaded\tier3_rare_endangered\Balaenoptera_musculus\Balaenoptera_musculus_00.jpg
S0017,iNat_Addax_nasomaculatus_03,Addax nasomaculatus,Addax,3,idefics3,conservation,,0.7,1,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Addax_nasomaculatus\Addax_nasomaculatus_03.jpg
S0018,GBIF_Ursus_americanus_02,Ursus americanus,American black bear,4,qwen35_9b,mythological,East Asian (Chinese/Japanese),0.3,1,forced_evasion,data\GBIF\downloaded\tier4_visually_confusable\Ursus_americanus\Ursus_americanus_02.jpg
S0019,GBIF_Probosciger_aterrimus_01,Probosciger aterrimus,Palm cockatoo,2,qwen25vl,childrens,,0.3,2,stratified_random,data\GBIF\downloaded\tier2_regionally_known\Probosciger_aterrimus\Probosciger_aterrimus_01.jpg
S0020,iNat_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,ayavision,mythological,West African (Yoruba),0.7,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_01.jpg
S0021,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,qwen3vl8b,conservation,,0.7,0,forced_evasion,data\iNaturalist\downloaded\tier4_visually_confusable\Acinonyx_jubatus\Acinonyx_jubatus_02.jpg
S0022,iNat_Panthera_pardus_orientalis_00,Panthera pardus orientalis,Amur leopard,3,qwen35_9b,conservation,,0.3,0,stratified_random,data\iNaturalist\downloaded\tier3_rare_endangered\Panthera_pardus_orientalis\Panthera_pardus_orientalis_00.jpg
S0023,iNat_Panthera_pardus_orientalis_00,Panthera pardus orientalis,Amur leopard,3,qwen2vl2b,childrens,,0.3,2,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Panthera_pardus_orientalis\Panthera_pardus_orientalis_00.jpg
S0024,GBIF_Ailurus_fulgens_01,Ailurus fulgens,Red panda,2,llava16,mythological,Ancient Greek,0.7,0,stratified_random,data\GBIF\downloaded\tier2_regionally_known\Ailurus_fulgens\Ailurus_fulgens_01.jpg
S0025,GBIF_Panthera_onca_02,Panthera onca,Jaguar,1,gemma3,conservation,,0.7,0,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Panthera_onca\Panthera_onca_02.jpg
S0026,iNat_Tapirus_terrestris_03,Tapirus terrestris,South American tapir,2,qwen35_9b,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Tapirus_terrestris\Tapirus_terrestris_03.jpg
S0027,iNat_Tapirus_terrestris_03,Tapirus terrestris,South American tapir,2,qwen25vl,conservation,,0.7,0,forced_ehr_high,data\iNaturalist\downloaded\tier2_regionally_known\Tapirus_terrestris\Tapirus_terrestris_03.jpg
S0028,GBIF_Ursus_maritimus_02,Ursus maritimus,Polar bear,1,llava_interleave,factual,,0.3,2,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Ursus_maritimus\Ursus_maritimus_02.jpg
S0029,iNat_Giraffa_camelopardalis_01,Giraffa camelopardalis,Giraffe,1,qwen3vl8b,conservation,,0.7,1,forced_ehr0,data\iNaturalist\downloaded\tier1_iconic_common\Giraffa_camelopardalis\Giraffa_camelopardalis_01.jpg
S0030,iNat_Balaenoptera_musculus_04,Balaenoptera musculus,Blue whale,3,gemma4_8b,childrens,,0.7,2,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Balaenoptera_musculus\Balaenoptera_musculus_04.jpg
S0031,iNat_Ursus_arctos_03,Ursus arctos,Grizzly bear,4,ayavision,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Ursus_arctos\Ursus_arctos_03.jpg
S0032,GBIF_Ambystoma_mexicanum_02,Ambystoma mexicanum,Axolotl,2,llava16,childrens,,0.7,0,forced_shr1,data\GBIF\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_02.jpg
S0033,iNat_Diceros_bicornis_04,Diceros bicornis,Black rhino,3,ayavision,conservation,,0.7,0,forced_ehr_high,data\iNaturalist\downloaded\tier3_rare_endangered\Diceros_bicornis\Diceros_bicornis_04.jpg
S0034,iNat_Panthera_pardus_01,Panthera pardus,Leopard,4,qwen3vl8b,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Panthera_pardus\Panthera_pardus_01.jpg
S0035,GBIF_Pan_troglodytes_02,Pan troglodytes,Chimpanzee,1,qwen2vl2b,factual,,0.7,2,forced_evasion,data\GBIF\downloaded\tier1_iconic_common\Pan_troglodytes\Pan_troglodytes_02.jpg
S0036,iNat_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,ayavision,childrens,,0.3,1,forced_evasion,data\iNaturalist\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_01.jpg
S0037,GBIF_Addax_nasomaculatus_02,Addax nasomaculatus,Addax,3,gemma4_8b,mythological,West African (Yoruba),0.7,1,forced_ehr_high,data\GBIF\downloaded\tier3_rare_endangered\Addax_nasomaculatus\Addax_nasomaculatus_02.jpg
S0038,iNat_Giraffa_camelopardalis_02,Giraffa camelopardalis,Giraffe,1,gemma3,factual,,0.3,1,forced_shr1,data\iNaturalist\downloaded\tier1_iconic_common\Giraffa_camelopardalis\Giraffa_camelopardalis_02.jpg
S0039,GBIF_Panthera_pardus_orientalis_02,Panthera pardus orientalis,Amur leopard,3,llava16,factual,,0.7,2,stratified_random,data\GBIF\downloaded\tier3_rare_endangered\Panthera_pardus_orientalis\Panthera_pardus_orientalis_02.jpg
S0040,GBIF_Panthera_pardus_01,Panthera pardus,Leopard,4,gemma3,conservation,,0.7,2,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Panthera_pardus\Panthera_pardus_01.jpg
S0041,iNat_Gorilla_beringei_beringei_04,Gorilla beringei beringei,Mountain gorilla,3,idefics3,mythological,East Asian (Chinese/Japanese),0.7,0,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Gorilla_beringei_beringei\Gorilla_beringei_beringei_04.jpg
S0042,iNat_Patagioenas_squamosa_00,Patagioenas squamosa,Scaly-naped pigeon,2,gemma4_8b,mythological,Celtic,0.3,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Patagioenas_squamosa\Patagioenas_squamosa_00.jpg
S0043,iNat_Ailuropoda_melanoleuca_02,Ailuropoda melanoleuca,Giant panda,1,qwen3vl8b,conservation,,0.7,0,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Ailuropoda_melanoleuca\Ailuropoda_melanoleuca_02.jpg
S0044,GBIF_Giraffa_camelopardalis_01,Giraffa camelopardalis,Giraffe,1,gemma3,conservation,,0.3,0,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Giraffa_camelopardalis\Giraffa_camelopardalis_01.jpg
S0045,iNat_Panthera_leo_03,Panthera leo,African lion,1,qwen3vl8b,factual,,0.7,1,forced_evasion,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_leo\Panthera_leo_03.jpg
S0046,GBIF_Crocodylus_niloticus_01,Crocodylus niloticus,Nile crocodile,4,qwen35_9b,conservation,,0.3,1,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Crocodylus_niloticus\Crocodylus_niloticus_01.jpg
S0047,iNat_Patagioenas_squamosa_04,Patagioenas squamosa,Scaly-naped pigeon,2,qwen2vl2b,factual,,0.3,2,forced_evasion,data\iNaturalist\downloaded\tier2_regionally_known\Patagioenas_squamosa\Patagioenas_squamosa_04.jpg
S0048,iNat_Aquila_chrysaetos_01,Aquila chrysaetos,Golden eagle,4,qwen2vl2b,factual,,0.3,0,forced_evasion,data\iNaturalist\downloaded\tier4_visually_confusable\Aquila_chrysaetos\Aquila_chrysaetos_01.jpg
S0049,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,qwen3vl8b,mythological,Celtic,0.3,0,stratified_random,data\iNaturalist\downloaded\tier4_visually_confusable\Acinonyx_jubatus\Acinonyx_jubatus_02.jpg
S0050,iNat_Arctictis_binturong_03,Arctictis binturong,Binturong,2,qwen3vl8b,conservation,,0.7,2,forced_evasion,data\iNaturalist\downloaded\tier2_regionally_known\Arctictis_binturong\Arctictis_binturong_03.jpg
S0051,GBIF_Ursus_americanus_01,Ursus americanus,American black bear,4,llava_interleave,mythological,Celtic,0.3,1,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Ursus_americanus\Ursus_americanus_01.jpg
S0052,iNat_Arctictis_binturong_02,Arctictis binturong,Binturong,2,qwen25vl,conservation,,0.7,1,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Arctictis_binturong\Arctictis_binturong_02.jpg
S0053,iNat_Phocoena_sinus_02,Phocoena sinus,Vaquita,3,qwen2vl2b,factual,,0.3,0,forced_ehr0,data\iNaturalist\downloaded\tier3_rare_endangered\Phocoena_sinus\Phocoena_sinus_02.jpg
S0054,iNat_Ailuropoda_melanoleuca_02,Ailuropoda melanoleuca,Giant panda,1,qwen3vl8b,mythological,Hindu,0.7,0,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Ailuropoda_melanoleuca\Ailuropoda_melanoleuca_02.jpg
S0055,GBIF_Gorilla_beringei_beringei_00,Gorilla beringei beringei,Mountain gorilla,3,idefics3,childrens,,0.7,2,forced_ehr_high,data\GBIF\downloaded\tier3_rare_endangered\Gorilla_beringei_beringei\Gorilla_beringei_beringei_00.jpg
S0056,GBIF_Alligator_mississippiensis_02,Alligator mississippiensis,American alligator,4,qwen35_9b,conservation,,0.7,2,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_02.jpg
S0057,GBIF_Panthera_tigris_tigris_02,Panthera tigris tigris,Bengal tiger,1,qwen25vl,childrens,,0.7,1,forced_ehr0,data\GBIF\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_02.jpg
S0058,iNat_Pan_troglodytes_03,Pan troglodytes,Chimpanzee,1,llava_interleave,childrens,,0.7,1,forced_evasion,data\iNaturalist\downloaded\tier1_iconic_common\Pan_troglodytes\Pan_troglodytes_03.jpg
S0059,iNat_Arctictis_binturong_01,Arctictis binturong,Binturong,2,gemma3,factual,,0.3,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Arctictis_binturong\Arctictis_binturong_01.jpg
S0060,GBIF_Ambystoma_mexicanum_02,Ambystoma mexicanum,Axolotl,2,qwen2vl2b,mythological,Hindu,0.3,1,forced_evasion,data\GBIF\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_02.jpg
S0061,iNat_Panthera_onca_02,Panthera onca,Jaguar,1,qwen25vl,conservation,,0.7,0,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_onca\Panthera_onca_02.jpg
S0062,GBIF_Ursus_maritimus_00,Ursus maritimus,Polar bear,1,llava_interleave,factual,,0.3,2,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Ursus_maritimus\Ursus_maritimus_00.jpg
S0063,iNat_Panthera_onca_01,Panthera onca,Jaguar,1,gemma4_8b,childrens,,0.3,0,forced_shr1,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_onca\Panthera_onca_01.jpg
S0064,iNat_Probosciger_aterrimus_02,Probosciger aterrimus,Palm cockatoo,2,ayavision,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Probosciger_aterrimus\Probosciger_aterrimus_02.jpg
S0065,iNat_Panthera_tigris_tigris_03,Panthera tigris tigris,Bengal tiger,1,ayavision,mythological,West African (Yoruba),0.7,2,forced_shr1,data\iNaturalist\downloaded\tier1_iconic_common\Panthera_tigris_tigris\Panthera_tigris_tigris_03.jpg
S0066,iNat_Probosciger_aterrimus_03,Probosciger aterrimus,Palm cockatoo,2,gemma4_8b,childrens,,0.3,1,forced_evasion,data\iNaturalist\downloaded\tier2_regionally_known\Probosciger_aterrimus\Probosciger_aterrimus_03.jpg
S0067,iNat_Ambystoma_mexicanum_04,Ambystoma mexicanum,Axolotl,2,ayavision,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_04.jpg
S0068,GBIF_Panthera_onca_01,Panthera onca,Jaguar,1,gemma3,mythological,East Asian (Chinese/Japanese),0.7,1,forced_evasion,data\GBIF\downloaded\tier1_iconic_common\Panthera_onca\Panthera_onca_01.jpg
S0069,iNat_Addax_nasomaculatus_03,Addax nasomaculatus,Addax,3,ayavision,factual,,0.7,1,stratified_random,data\iNaturalist\downloaded\tier3_rare_endangered\Addax_nasomaculatus\Addax_nasomaculatus_03.jpg
S0070,iNat_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,qwen25vl,mythological,West African (Yoruba),0.7,1,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_01.jpg
S0071,GBIF_Alligator_mississippiensis_01,Alligator mississippiensis,American alligator,4,gemma3,mythological,West African (Yoruba),0.3,1,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_01.jpg
S0072,GBIF_Panthera_pardus_orientalis_02,Panthera pardus orientalis,Amur leopard,3,qwen35_9b,childrens,,0.7,1,forced_shr1,data\GBIF\downloaded\tier3_rare_endangered\Panthera_pardus_orientalis\Panthera_pardus_orientalis_02.jpg
S0073,iNat_Panthera_pardus_04,Panthera pardus,Leopard,4,gemma3,childrens,,0.3,2,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Panthera_pardus\Panthera_pardus_04.jpg
S0074,GBIF_Addax_nasomaculatus_02,Addax nasomaculatus,Addax,3,ayavision,childrens,,0.7,1,forced_evasion,data\GBIF\downloaded\tier3_rare_endangered\Addax_nasomaculatus\Addax_nasomaculatus_02.jpg
S0075,iNat_Rhinoceros_unicornis_04,Rhinoceros unicornis,Indian rhinoceros,1,gemma3,childrens,,0.3,1,stratified_random,data\iNaturalist\downloaded\tier1_iconic_common\Rhinoceros_unicornis\Rhinoceros_unicornis_04.jpg
S0076,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,llava_interleave,childrens,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Acinonyx_jubatus\Acinonyx_jubatus_02.jpg
S0077,iNat_Pseudoryx_nghetinhensis_00,Pseudoryx nghetinhensis,Saola,3,qwen2vl2b,factual,,0.7,0,forced_ehr_high,data\iNaturalist\downloaded\tier3_rare_endangered\Pseudoryx_nghetinhensis\Pseudoryx_nghetinhensis_00.jpg
S0078,iNat_Diceros_bicornis_01,Diceros bicornis,Black rhino,3,qwen35_9b,conservation,,0.3,2,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Diceros_bicornis\Diceros_bicornis_01.jpg
S0079,iNat_Ursus_maritimus_03,Ursus maritimus,Polar bear,1,qwen3vl8b,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier1_iconic_common\Ursus_maritimus\Ursus_maritimus_03.jpg
S0080,iNat_Addax_nasomaculatus_03,Addax nasomaculatus,Addax,3,gemma4_8b,conservation,,0.7,1,forced_shr1,data\iNaturalist\downloaded\tier3_rare_endangered\Addax_nasomaculatus\Addax_nasomaculatus_03.jpg
S0081,GBIF_Strigops_habroptila_02,Strigops habroptila,Kakapo,3,qwen3vl8b,childrens,,0.3,0,forced_shr1,data\GBIF\downloaded\tier3_rare_endangered\Strigops_habroptila\Strigops_habroptila_02.jpg
S0082,GBIF_Ursus_maritimus_02,Ursus maritimus,Polar bear,1,ayavision,childrens,,0.7,0,forced_shr1,data\GBIF\downloaded\tier1_iconic_common\Ursus_maritimus\Ursus_maritimus_02.jpg
S0083,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,llava16,conservation,,0.7,0,forced_ehr_high,data\iNaturalist\downloaded\tier4_visually_confusable\Acinonyx_jubatus\Acinonyx_jubatus_02.jpg
S0084,GBIF_Panthera_pardus_01,Panthera pardus,Leopard,4,qwen2vl2b,factual,,0.7,1,forced_evasion,data\GBIF\downloaded\tier4_visually_confusable\Panthera_pardus\Panthera_pardus_01.jpg
S0085,GBIF_Alligator_mississippiensis_01,Alligator mississippiensis,American alligator,4,qwen25vl,childrens,,0.3,1,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_01.jpg
S0086,GBIF_Arctictis_binturong_00,Arctictis binturong,Binturong,2,gemma3,childrens,,0.7,1,forced_shr1,data\GBIF\downloaded\tier2_regionally_known\Arctictis_binturong\Arctictis_binturong_00.jpg
S0087,iNat_Elephas_maximus_02,Elephas maximus,Asian elephant,4,idefics3,childrens,,0.3,0,forced_ehr_high,data\iNaturalist\downloaded\tier4_visually_confusable\Elephas_maximus\Elephas_maximus_02.jpg
S0088,iNat_Ailurus_fulgens_02,Ailurus fulgens,Red panda,2,qwen3vl8b,mythological,Hindu,0.3,1,stratified_random,data\iNaturalist\downloaded\tier2_regionally_known\Ailurus_fulgens\Ailurus_fulgens_02.jpg
S0089,GBIF_Equus_quagga_02,Equus quagga,Plains zebra,1,qwen2vl2b,childrens,,0.7,2,forced_ehr0,data\GBIF\downloaded\tier1_iconic_common\Equus_quagga\Equus_quagga_02.jpg
S0090,GBIF_Alligator_mississippiensis_01,Alligator mississippiensis,American alligator,4,qwen2vl2b,childrens,,0.3,1,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_01.jpg
S0091,iNat_Alligator_mississippiensis_02,Alligator mississippiensis,American alligator,4,gemma4_8b,mythological,Ancient Greek,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Alligator_mississippiensis\Alligator_mississippiensis_02.jpg
S0092,iNat_Pseudoryx_nghetinhensis_00,Pseudoryx nghetinhensis,Saola,3,llava_interleave,conservation,,0.3,0,forced_ehr_high,data\iNaturalist\downloaded\tier3_rare_endangered\Pseudoryx_nghetinhensis\Pseudoryx_nghetinhensis_00.jpg
S0093,iNat_Ailurus_fulgens_02,Ailurus fulgens,Red panda,2,qwen35_9b,mythological,Hindu,0.7,0,stratified_random,data\iNaturalist\downloaded\tier2_regionally_known\Ailurus_fulgens\Ailurus_fulgens_02.jpg
S0094,iNat_Rhincodon_typus_00,Rhincodon typus,Whale shark,2,qwen3vl8b,childrens,,0.3,1,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Rhincodon_typus\Rhincodon_typus_00.jpg
S0095,iNat_Ambystoma_mexicanum_04,Ambystoma mexicanum,Axolotl,2,llava16,conservation,,0.7,0,forced_shr1,data\iNaturalist\downloaded\tier2_regionally_known\Ambystoma_mexicanum\Ambystoma_mexicanum_04.jpg
S0096,iNat_Patagioenas_squamosa_04,Patagioenas squamosa,Scaly-naped pigeon,2,qwen25vl,childrens,,0.7,0,stratified_random,data\iNaturalist\downloaded\tier2_regionally_known\Patagioenas_squamosa\Patagioenas_squamosa_04.jpg
S0097,iNat_Aquila_chrysaetos_00,Aquila chrysaetos,Golden eagle,4,gemma3,conservation,,0.3,1,forced_shr1,data\iNaturalist\downloaded\tier4_visually_confusable\Aquila_chrysaetos\Aquila_chrysaetos_00.jpg
S0098,GBIF_Ursus_arctos_02,Ursus arctos,Grizzly bear,4,ayavision,conservation,,0.7,2,forced_shr1,data\GBIF\downloaded\tier4_visually_confusable\Ursus_arctos\Ursus_arctos_02.jpg
S0099,iNat_Ailurus_fulgens_02,Ailurus fulgens,Red panda,2,llava_interleave,conservation,,0.3,0,stratified_random,data\iNaturalist\downloaded\tier2_regionally_known\Ailurus_fulgens\Ailurus_fulgens_02.jpg
