serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,r_species,r_habitat,r_diet,r_iucn,r_overall,notes,saved_at
S0001,iNat_Ailuropoda_melanoleuca_03,Ailuropoda melanoleuca,Giant panda,1,llava_interleave,mythological,Ancient Greek,0.7,1,forced_evasion,4.7,2.5,3,3,2,"SERIAL: S0001
R_SPECIES: 4
R_HABITAT: 3
R_DIET: 3
R_IUCN: 3
R_OVERALL: 2
NOTES: Species identifiable by common name and black eye patches, but diet and IUCN status are entirely absent, and habitat is reduced to the vague phrase ""lush forests of China"" with no ecological specificity.",2026-04-17 14:12:19
S0002,GBIF_Panthera_tigris_tigris_00,Panthera tigris tigris,Bengal tiger,1,qwen2vl2b,conservation,,0.7,0,forced_shr1,3.3,2.4,1.3,1.5,2.3,"SERIAL: S0002
R_SPECIES: 2
R_HABITAT: 3
R_DIET: 1
R_IUCN: 2
R_OVERALL: 2
NOTES: Story refers only to ""tiger"" with no scientific name or subspecies identification, diet is entirely absent, and IUCN status is vaguely described as ""critical"" without citing the correct EN category.",2026-04-17 14:12:30
S0003,GBIF_Probosciger_aterrimus_02,Probosciger aterrimus,Palm cockatoo,2,llava_interleave,mythological,Hindu,0.3,1,forced_shr1,1,1.7,2.5,1,1,"SERIAL: S0003
R_SPECIES: 1
R_HABITAT: 2
R_DIET: 2
R_IUCN: 1
R_OVERALL: 1
NOTES: The model completely misidentified the Palm cockatoo as a crow, rendering all subsequent ecological claims (diet including carrion, habitat generalism, conservation framing) irrelevant to the actual species.",2026-04-17 14:12:43
S0004,iNat_Diceros_bicornis_00,Diceros bicornis,Black rhino,3,qwen3vl8b,mythological,West African (Yoruba),0.3,0,forced_ehr_high,4.5,2.4,4,3.7,3.6,"SERIAL: S0004
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 3
R_IUCN: 2
R_OVERALL: 1
NOTES: Story explicitly names the wrong species (""White Rhinoceros""), places it in the Niger Delta which is outside the Black rhino's actual range in eastern/southern Africa, and understates the IUCN status as ""endangered"" rather than Critically Endangered.",2026-04-17 14:12:52
S0005,iNat_Acipenser_sturio_01,Acipenser sturio,European sturgeon,3,idefics3,childrens,,0.7,2,forced_ehr0,1,2,1,1,1,"SERIAL: S0005
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: Complete misidentification — the model described a sea urchin in a coral reef; the actual subject is a European sturgeon (a critically endangered freshwater/anadromous fish), with zero overlap in species, habitat, diet, or conservation status.",2026-04-17 14:13:06
S0006,GBIF_Equus_quagga_01,Equus quagga,Plains zebra,1,llava16,mythological,East Asian (Chinese/Japanese),0.3,1,stratified_random,4.9,4.5,4.8,4.5,4.7,"SERIAL: S0006
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 4
R_IUCN: 2
R_OVERALL: 3
NOTES: Habitat (African savanna) and diet (grasses, supplemented by leaves and bark) are largely accurate, but the species is identified only as ""zebra"" without scientific name or subspecies, and the IUCN status is misrepresented as concerning when Plains zebra is actually Least Concern.",2026-04-17 14:13:16
S0007,iNat_Elephas_maximus_02,Elephas maximus,Asian elephant,4,idefics3,mythological,Hindu,0.7,0,stratified_random,4.8,4.9,4.7,3.7,4.5,"SERIAL: S0007
R_SPECIES: 3
R_HABITAT: 4
R_DIET: 4
R_IUCN: 4
R_OVERALL: 3
NOTES: Correct geography, diet, and EN status, but the claim that the elephant has ""large ears spread to cool them down"" is a trait of African elephants, not Asian elephants, and no scientific name is provided.",2026-04-17 14:13:24
S0008,iNat_Loxodonta_africana_00,Loxodonta africana,African elephant,4,idefics3,childrens,,0.3,0,forced_ehr0,3.7,4,4,1.2,3.6,"SERIAL: S0008
R_SPECIES: 2
R_HABITAT: 4
R_DIET: 4
R_IUCN: 1
R_OVERALL: 3
NOTES: Habitat and diet are accurate for African elephants, but the species is never named (common or scientific), and IUCN status is entirely absent from the story.",2026-04-17 14:13:35
S0009,iNat_Strigops_habroptila_03,Strigops habroptila,Kakapo,3,llava_interleave,conservation,,0.7,0,forced_shr1,1,1,1,1,1,"SERIAL: S0009
R_SPECIES: 1
R_HABITAT: 1
R_DIET: 1
R_IUCN: 1
R_OVERALL: 1
NOTES: Complete misidentification as a hawk/falcon; the Kakapo is a flightless, nocturnal, herbivorous parrot endemic to New Zealand with EN status, bearing no resemblance to the story's described species, habitat, range, or conservation profile.",2026-04-17 14:13:43
S0010,iNat_Ursus_arctos_03,Ursus arctos,Grizzly bear,4,qwen3vl8b,conservation,,0.7,0,stratified_random,5,5,4.1,5,4.5,"SERIAL: S0010
R_SPECIES: 5
R_HABITAT: 5
R_DIET: 3
R_IUCN: 5
R_OVERALL: 4
NOTES: Correct scientific name, subspecies, IUCN status, and geographic range, but diet is entirely absent, preventing a full accuracy assessment.",2026-04-17 14:13:55
S0011,iNat_Hydrochoerus_hydrochaeris_02,Hydrochoerus hydrochaeris,Capybara,2,qwen3vl8b,factual,,0.3,2,forced_evasion,5,4,3.6,2.1,3.4,"SERIAL: S0011
R_SPECIES: 5
R_HABITAT: 3
R_DIET: 3
R_IUCN: 1
R_OVERALL: 3
NOTES: Species correctly identified with full scientific name and habitat description is largely accurate, but the story incorrectly extends the native range to the United States and Central America, diet is absent due to truncation, and IUCN status is never mentioned.",2026-04-17 14:14:04
