serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,r_species,r_habitat,r_diet,r_iucn,r_overall,notes,saved_at
S0286,GBIF_Panthera_pardus_orientalis_02,Panthera pardus orientalis,Amur leopard,3,idefics3,mythological,West African (Yoruba),0.7,1,forced_ehr_high,1,1,1,1,1,,2026-05-18 12:19:09
S0138,iNat_Haliaeetus_leucocephalus_04,Haliaeetus leucocephalus,Bald eagle,4,qwen35_9b,childrens,,0.7,0,forced_evasion,3,3,3,3,3,,2026-05-18 12:21:12
S0098,GBIF_Ursus_arctos_02,Ursus arctos,Grizzly bear,4,ayavision,conservation,,0.7,2,forced_shr1,3,3,3,3,3,,2026-05-18 12:21:14
S0416,iNat_Strigops_habroptila_03,Strigops habroptila,Kakapo,3,idefics3,childrens,,0.7,0,forced_evasion,1,1,1,1,1,,2026-05-18 12:22:32
S0106,iNat_Ursus_americanus_02,Ursus americanus,American black bear,4,llava_interleave,mythological,West African (Yoruba),0.3,0,forced_shr1,4.3,3.8,3.4,1,3.6,,2026-05-18 12:26:21
S0158,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,idefics3,factual,,0.7,1,forced_ehr_high,5,5,5,5,5,,2026-05-18 12:27:18
S0356,iNat_Giraffa_camelopardalis_00,Giraffa camelopardalis,Giraffe,1,gemma3,childrens,,0.7,2,forced_ehr0,5,5,5,2.4,4.4,,2026-05-18 12:28:45
S0036,iNat_Ambystoma_mexicanum_01,Ambystoma mexicanum,Axolotl,2,ayavision,childrens,,0.3,1,forced_evasion,4.5,3.9,5,1.4,4.2,,2026-05-18 12:30:11
S0148,iNat_Panthera_pardus_orientalis_00,Panthera pardus orientalis,Amur leopard,3,qwen25vl,factual,,0.3,0,stratified_random,5,5,5,5,5,,2026-05-18 12:30:35
S0220,GBIF_Panthera_pardus_orientalis_02,Panthera pardus orientalis,Amur leopard,3,idefics3,factual,,0.3,2,forced_ehr_high,1,1,1,1,1,,2026-05-18 12:31:08
S0068,GBIF_Panthera_onca_01,Panthera onca,Jaguar,1,gemma3,mythological,East Asian (Chinese/Japanese),0.7,1,forced_evasion,4.2,5,3.6,1.5,3.6,,2026-05-18 12:31:43
S0398,iNat_Panthera_onca_03,Panthera onca,Jaguar,1,llava_interleave,childrens,,0.3,0,stratified_random,5,4.4,4.1,1,3.7,,2026-05-18 12:32:25
